"iteration","state","psi","randomNumber1","randomNumber2","epsilon","a","r","W"
2,"row15col6",0.95,0.546852886105,-1.0,-1,"North",0.0,0.0
3,"row14col6",0.9025,0.600399022858,-1.0,-1,"North",0.0,0.0
4,"row13col6",0.857375,0.697608524049,-1.0,-1,"North",0.0,0.0
5,"row12col6",0.81450625,0.201140554953,-1.0,-1,"North",0.0,0.0
6,"row11col6",0.7737809375,0.306889214274,-1.0,-1,"North",0.0,0.0
7,"row10col6",0.735091890625,0.723224761539,-1.0,-1,"North",0.0,0.0
8,"row9col6",0.698337296094,0.97159216567,0.0132059630678,0.264908109375,"North",0.0,0.0
9,"row8col6",0.663420431289,0.399149288973,0.0132059630678,0.264908109375,"North",0.0,0.0
10,"row7col6",0.630249409725,0.569963737536,0.0132059630678,0.264908109375,"North",0.0,0.0
11,"row6col6",0.598736939238,0.988456687103,0.937528867318,0.369750590275,"East",0.0,0.0
12,"row6col7",0.568800092276,0.101360763501,0.937528867318,0.369750590275,"North",0.0,0.0
13,"row5col7",0.540360087663,0.0229556567525,0.937528867318,0.369750590275,"East",0.0,0.0
14,"row5col8",0.51334208328,0.491796632732,0.937528867318,0.369750590275,"East",0.0,0.0
15,"row5col9",0.487674979116,0.703431765732,0.312748316823,0.48665791672,"South",0.0,0.0
16,"row6col9",0.46329123016,0.496678525339,0.546920061707,0.512325020884,"West",0.0,0.0
17,"row6col8",0.440126668652,0.112902936393,0.546920061707,0.512325020884,"North",0.0,0.0
18,"row5col8",0.418120335219,0.819954588268,0.195455653583,0.559873331348,"West",0.0,0.0
19,"row5col7",0.397214318458,0.213230398212,0.195455653583,0.559873331348,"East",0.0,0.0
20,"row5col8",0.377353602535,0.383382592393,0.195455653583,0.559873331348,"East",0.0,0.0
21,"row5col9",0.358485922409,0.397292695253,0.834100536785,0.622646397465,"North",0.0,0.0
22,"row4col9",0.340561626288,0.151287799417,0.834100536785,0.622646397465,"South",0.0,0.0
23,"row5col9",0.323533544974,0.786438978917,0.275733611347,0.659438373712,"West",0.0,0.0
24,"row5col8",0.307356867725,0.369555835912,0.589057864482,0.676466455026,"East",0.0,0.0
25,"row5col9",0.291989024339,0.929318821736,0.784529069091,0.692643132275,"North",0.0,0.0
26,"row4col9",0.277389573122,0.256261138709,0.784529069091,0.692643132275,"South",0.0,0.0
27,"row5col9",0.263520094466,0.251079371765,0.784529069091,0.692643132275,"East",0.0,0.0
28,"row5col10",0.250344089742,0.0394577943369,0.784529069091,0.692643132275,"East",0.0,0.0
29,"row5col11",0.237826885255,0.170672617611,0.784529069091,0.692643132275,"East",0.0,0.0
30,"row5col12",0.225935540993,0.0220825091682,0.784529069091,0.692643132275,"East",0.0,0.0
31,"row5col13",0.214638763943,0.802213990642,0.82502182237,0.774064459007,"East",0.0,0.0
32,"row5col14",0.203906825746,0.0806601011084,0.82502182237,0.774064459007,"West",0.0,0.0
33,"row5col13",0.193711484459,0.024106098175,0.82502182237,0.774064459007,"North",0.0,0.0
34,"row4col13",0.184025910236,0.685117644846,0.890519339162,0.806288515541,"South",0.0,0.0
35,"row5col13",0.174824614724,0.908512801537,0.330932932699,0.815974089764,"North",0.0,0.0
36,"row4col13",0.166083383988,0.960653611175,0.510339771397,0.825175385276,"East",0.0,0.0
37,"row4col13",0.157779214788,0.0643354559289,0.510339771397,0.825175385276,"North",0.0,0.0
38,"row3col13",0.149890254049,0.893007397392,0.522154606837,0.842220785212,"West",0.0,0.0
39,"row3col13",0.142395741346,0.564561429363,0.235147612702,0.850109745951,"East",0.0,0.0
40,"row3col14",0.135275954279,0.822592211169,0.151682043682,0.857604258654,"North",0.0,0.0
41,"row2col14",0.128512156565,0.851603554378,0.696511215502,0.864724045721,"East",1.0,0.128512156565
42,"row15col14",0.95,0.803427144795,-1.0,-1,"East",0.0,0.0
43,"row15col15",0.9025,0.328659570249,-1.0,-1,"East",0.0,0.0
44,"row15col16",0.857375,0.509218676671,-1.0,-1,"East",0.0,0.0
45,"row15col17",0.81450625,0.85540857966,-1.0,-1,"North",0.0,0.0
46,"row14col17",0.7737809375,0.265193209987,-1.0,-1,"North",0.0,0.0
47,"row13col17",0.735091890625,0.733934992294,-1.0,-1,"North",0.0,0.0
48,"row12col17",0.698337296094,0.470860498096,-1.0,-1,"North",0.0,0.0
49,"row11col17",0.663420431289,0.71270173337,0.711768228677,0.301662703906,"West",0.0,0.0
50,"row11col17",0.630249409725,0.235634852348,0.711768228677,0.301662703906,"North",0.0,0.0
51,"row10col17",0.598736939238,0.778759673652,0.769845248744,0.369750590275,"West",0.0,0.0
52,"row10col17",0.568800092276,0.989771777585,0.484601972935,0.401263060762,"North",0.0,0.0
53,"row9col17",0.540360087663,0.534371457117,0.484601972935,0.401263060762,"North",0.0,0.0
54,"row8col17",0.51334208328,0.619321472165,0.874393666796,0.459639912337,"North",0.0,0.0
55,"row7col17",0.487674979116,0.0409345073868,0.874393666796,0.459639912337,"North",0.0,0.0
56,"row6col17",0.46329123016,0.21892415194,0.874393666796,0.459639912337,"North",0.0,0.0
57,"row5col17",0.440126668652,0.59607446393,0.851132614526,0.53670876984,"North",0.0,0.0
58,"row5col17",0.418120335219,0.115792319234,0.851132614526,0.53670876984,"West",0.0,0.0
59,"row5col16",0.397214318458,0.778751530776,0.441642675698,0.581879664781,"East",0.0,0.0
60,"row5col17",0.377353602535,0.851759326621,0.0839623294262,0.602785681542,"South",0.0,0.0
61,"row6col17",0.358485922409,0.825906665091,0.337431954261,0.622646397465,"North",0.0,0.0
62,"row5col17",0.340561626288,0.243631918214,0.337431954261,0.622646397465,"West",0.0,0.0
63,"row5col16",0.323533544974,0.0469707707487,0.337431954261,0.622646397465,"West",0.0,0.0
64,"row5col15",0.307356867725,0.014854738547,0.337431954261,0.622646397465,"West",0.0,0.0
65,"row5col14",0.291989024339,0.242141130425,0.337431954261,0.622646397465,"West",0.0,0.0
66,"row5col13",0.277389573122,0.59228262749,0.119829063663,0.708010975661,"East",0.0,0.0
67,"row5col14",0.263520094466,0.824414244647,0.12252351944,0.722610426878,"South",0.0,0.0
68,"row6col14",0.250344089742,0.135853615275,0.12252351944,0.722610426878,"North",0.0,0.0
69,"row5col14",0.237826885255,0.382506658215,0.518992533441,0.749655910258,"West",0.0,0.0
70,"row5col13",0.225935540993,0.642342585309,0.552593713357,0.762173114745,"West",0.0,0.0
71,"row5col12",0.214638763943,0.544853069863,0.717600677859,0.774064459007,"West",0.0,0.0
72,"row5col11",0.203906825746,0.749763532505,0.855609815437,0.785361236057,"East",0.0,0.0
73,"row5col12",0.193711484459,0.772682493186,0.0291281012629,0.796093174254,"South",0.0,0.0
74,"row6col12",0.184025910236,0.267685554672,0.862916763835,0.806288515541,"North",0.0,0.0
75,"row5col12",0.174824614724,0.157607931117,0.862916763835,0.806288515541,"East",0.0,0.0
76,"row5col13",0.166083383988,0.509243865574,0.569620685729,0.825175385276,"South",0.0,0.0
77,"row6col13",0.157779214788,0.849797170393,0.71661985838,0.833916616012,"South",0.0,0.0
78,"row6col13",0.149890254049,0.55741021699,0.167633746044,0.842220785212,"South",0.0,0.0
79,"row6col13",0.142395741346,0.221355820858,0.27662142725,0.850109745951,"East",0.0,0.0
80,"row6col14",0.135275954279,0.984475049732,0.520600704484,0.857604258654,"North",0.0,0.0
81,"row5col14",0.128512156565,0.322306277562,0.0712422568031,0.864724045721,"East",0.0,0.0
82,"row5col15",0.122086548737,0.984511698481,0.429470231583,0.871487843435,"East",0.0,0.0
83,"row5col16",0.1159822213,0.126603704327,0.610604914866,0.877913451263,"East",0.0,0.0
84,"row5col17",0.110183110235,0.567199562442,0.456024200873,0.8840177787,"South",0.0,0.0
85,"row6col17",0.104673954723,0.990567797292,0.256754614436,0.889816889765,"South",0.0,0.0
86,"row7col17",0.0994402569871,0.709965413588,0.113902562008,0.895326045277,"South",0.0,0.0
87,"row8col17",0.0944682441377,0.0617462033236,0.113902562008,0.895326045277,"North",0.0,0.0
88,"row7col17",0.0897448319309,0.458501815235,0.275697403171,0.905531755862,"North",0.0,0.0
89,"row6col17",0.0852575903343,0.44739561314,0.74873406703,0.910255168069,"East",0.0,0.0
90,"row6col18",0.0809947108176,0.865219606175,0.35252378402,0.914742409666,"South",0.0,0.0
91,"row7col18",0.0769449752767,0.897063900659,0.239236714829,0.919005289182,"East",0.0,0.0
92,"row7col18",0.0730977265129,0.943085387367,0.84164420624,0.923055024723,"East",0.0,0.0
93,"row7col18",0.0694428401872,0.507686144631,0.868573665737,0.926902273487,"West",0.0,0.0
94,"row7col17",0.0659706981779,0.992473616861,0.186564755152,0.930557159813,"East",0.0,0.0
95,"row7col18",0.062672163269,0.337088763632,0.227862267484,0.934029301822,"West",0.0,0.0
96,"row7col17",0.0595385551055,0.043659177459,0.227862267484,0.934029301822,"North",0.0,0.0
97,"row6col17",0.0565616273503,0.891140359705,0.56887065654,0.940461444894,"West",0.0,0.0
98,"row6col16",0.0537335459827,0.4199641185,0.416718511993,0.94343837265,"West",0.0,0.0
99,"row6col15",0.0510468686836,0.667228924515,0.983249887241,0.946266454017,"North",0.0,0.0
100,"row5col15",0.0484945252494,0.753205745212,0.609809206643,0.948953131316,"South",0.0,0.0
101,"row6col15",0.046069798987,0.34860468173,0.570680009554,0.951505474751,"West",0.0,0.0
102,"row6col14",0.0437663090376,0.36096741111,0.272178638909,0.953930201013,"East",0.0,0.0
103,"row6col15",0.0415779935857,0.61332772481,0.952648788687,0.956233690962,"East",0.0,0.0
104,"row6col16",0.0394990939064,0.175010859687,0.415966073166,0.958422006414,"East",0.0,0.0
105,"row6col17",0.0375241392111,0.757003260798,0.108506911233,0.960500906094,"North",0.0,0.0
106,"row5col17",0.0356479322506,0.484257886438,0.436756736109,0.962475860789,"West",0.0,0.0
107,"row5col16",0.033865535638,0.201556061998,0.802828761647,0.964352067749,"South",0.0,0.0
108,"row6col16",0.0321722588561,0.829674746121,0.216230470821,0.966134464362,"South",0.0,0.0
109,"row6col16",0.0305636459133,0.20804988441,0.251159096548,0.967827741144,"East",0.0,0.0
110,"row6col17",0.0290354636177,0.734270204591,0.99543863315,0.969436354087,"West",0.0,0.0
111,"row6col16",0.0275836904368,0.558848558872,0.0369136052743,0.970964536382,"West",0.0,0.0
112,"row6col15",0.0262045059149,0.0989842201648,0.251452430278,0.972416309563,"North",0.0,0.0
113,"row5col15",0.0248942806192,0.318229830478,0.137798332108,0.973795494085,"West",0.0,0.0
114,"row5col14",0.0236495665882,0.143578601245,0.0807889281139,0.975105719381,"South",0.0,0.0
115,"row6col14",0.0224670882588,0.601225987269,0.557485166038,0.976350433412,"East",0.0,0.0
116,"row6col15",0.0213437338459,0.690330011295,0.637159118468,0.977532911741,"West",0.0,0.0
117,"row6col14",0.0202765471536,0.0362006009982,0.119203210454,0.978656266154,"East",0.0,0.0
118,"row6col15",0.0192627197959,0.595125136145,0.110583787768,0.979723452846,"North",0.0,0.0
119,"row5col15",0.0182995838061,0.651458746098,0.118709822056,0.980737280204,"South",0.0,0.0
120,"row6col15",0.0173846046158,0.0967064930545,0.838714880009,0.981700416194,"North",0.0,0.0
121,"row5col15",0.016515374385,0.0430609679655,0.580914850823,0.982615395384,"South",0.0,0.0
122,"row6col15",0.0156896056658,0.310987702262,0.894062651869,0.983484625615,"South",0.0,0.0
123,"row6col15",0.0149051253825,0.389971901671,0.550382228995,0.984310394334,"West",0.0,0.0
