"iteration","state","psi","randomNumber1","randomNumber2","epsilon","a","r","W"
2,"row18col2",0.95,0.938895483382,-1.0,-1,"North",0.0,0.0
3,"row17col2",0.9025,0.867279390706,-1.0,-1,"North",0.0,0.0
4,"row16col2",0.857375,0.150353375624,-1.0,-1,"North",0.0,0.0
5,"row15col2",0.81450625,0.448589953948,-1.0,-1,"East",0.0,0.0
6,"row15col3",0.7737809375,0.27529945745,-1.0,-1,"North",0.0,0.0
7,"row14col3",0.735091890625,0.428291455064,-1.0,-1,"East",0.0,0.0
8,"row14col4",0.698337296094,0.575529380917,-1.0,-1,"East",0.0,0.0
9,"row14col5",0.663420431289,0.0495284238813,-1.0,-1,"North",0.0,0.0
10,"row13col5",0.630249409725,0.0990011787167,-1.0,-1,"North",0.0,0.0
11,"row12col5",0.598736939238,0.771362286711,0.807381670036,0.369750590275,"East",0.0,0.0
12,"row12col6",0.568800092276,0.414622582518,0.807381670036,0.369750590275,"West",0.0,0.0
13,"row12col5",0.540360087663,0.691297329318,0.486494253017,0.431199907724,"South",0.0,0.0
14,"row13col5",0.51334208328,0.252341560042,0.486494253017,0.431199907724,"North",0.0,0.0
15,"row12col5",0.487674979116,0.775322209679,0.179884345892,0.48665791672,"South",0.0,0.0
16,"row13col5",0.46329123016,0.840796772518,0.583043928084,0.512325020884,"West",0.0,0.0
17,"row13col5",0.440126668652,0.357205974343,0.583043928084,0.512325020884,"North",0.0,0.0
18,"row12col5",0.418120335219,0.636375946511,0.81686026138,0.559873331348,"North",0.0,0.0
19,"row11col5",0.397214318458,0.46052556552,0.320172052013,0.581879664781,"West",0.0,0.0
20,"row11col4",0.377353602535,0.637495412003,0.0285882402023,0.602785681542,"South",0.0,0.0
21,"row11col4",0.358485922409,0.872634045738,0.243226482943,0.622646397465,"West",0.0,0.0
22,"row11col3",0.340561626288,0.539051236424,0.304281168093,0.641514077591,"East",0.0,0.0
23,"row11col4",0.323533544974,0.0421221496838,0.304281168093,0.641514077591,"East",0.0,0.0
24,"row11col5",0.307356867725,0.230644150697,0.304281168093,0.641514077591,"North",0.0,0.0
25,"row10col5",0.291989024339,0.646251356153,0.355523489149,0.692643132275,"East",0.0,0.0
26,"row10col6",0.277389573122,0.761707608788,0.0749463153708,0.708010975661,"North",0.0,0.0
27,"row9col6",0.263520094466,0.775751464298,0.665900628158,0.722610426878,"South",0.0,0.0
28,"row10col6",0.250344089742,0.988273565146,0.580442142811,0.736479905534,"South",0.0,0.0
29,"row11col6",0.237826885255,0.744976774331,0.707445443899,0.749655910258,"North",0.0,0.0
30,"row10col6",0.225935540993,0.732903790159,0.131535805223,0.762173114745,"South",0.0,0.0
31,"row11col6",0.214638763943,0.926008198896,0.339709647087,0.774064459007,"South",0.0,0.0
32,"row12col6",0.203906825746,0.111887601214,0.339709647087,0.774064459007,"West",0.0,0.0
33,"row12col5",0.193711484459,0.232350411513,0.330668113643,0.796093174254,"East",0.0,0.0
34,"row12col6",0.184025910236,0.502859435876,0.694559262328,0.806288515541,"South",0.0,0.0
35,"row13col6",0.174824614724,0.844990991675,0.654648866437,0.815974089764,"South",0.0,0.0
36,"row14col6",0.166083383988,0.0285990628114,0.654648866437,0.815974089764,"West",0.0,0.0
37,"row14col5",0.157779214788,0.151263552621,0.654648866437,0.815974089764,"North",0.0,0.0
38,"row13col5",0.149890254049,0.601703060377,0.694124941308,0.842220785212,"North",0.0,0.0
39,"row12col5",0.142395741346,0.598098588069,0.76226195354,0.850109745951,"West",0.0,0.0
40,"row12col5",0.135275954279,0.989754039866,0.244675666598,0.857604258654,"West",0.0,0.0
41,"row12col5",0.128512156565,0.190560075161,0.357311486199,0.864724045721,"West",0.0,0.0
42,"row12col5",0.122086548737,0.847950486362,0.852841389503,0.871487843435,"West",0.0,0.0
43,"row12col5",0.1159822213,0.281704229345,0.584939311215,0.877913451263,"East",0.0,0.0
44,"row12col6",0.110183110235,0.709593693049,0.988955739823,0.8840177787,"South",0.0,0.0
45,"row13col6",0.104673954723,0.258583512282,0.240557710815,0.889816889765,"East",0.0,0.0
46,"row13col6",0.0994402569871,0.582196616841,0.595434016188,0.895326045277,"North",0.0,0.0
47,"row12col6",0.0944682441377,0.463926653314,0.898828223054,0.900559743013,"East",0.0,0.0
48,"row12col6",0.0897448319309,0.345171132757,0.113004235194,0.905531755862,"North",0.0,0.0
49,"row11col6",0.0852575903343,0.762464258014,0.0911055938797,0.910255168069,"West",0.0,0.0
50,"row11col5",0.0809947108176,0.0217003286918,0.0911055938797,0.910255168069,"North",0.0,0.0
51,"row10col5",0.0769449752767,0.759488223757,0.0889623127625,0.919005289182,"South",0.0,0.0
52,"row11col5",0.0730977265129,0.352669610237,0.546248263815,0.923055024723,"West",0.0,0.0
53,"row11col4",0.0694428401872,0.0613198750516,0.546248263815,0.923055024723,"East",0.0,0.0
54,"row11col5",0.0659706981779,0.404466956616,0.796255739557,0.930557159813,"South",0.0,0.0
55,"row12col5",0.062672163269,0.27173768014,0.294107366646,0.934029301822,"East",0.0,0.0
56,"row12col6",0.0595385551055,0.19202404426,0.53660482886,0.937327836731,"West",0.0,0.0
57,"row12col5",0.0565616273503,0.178849887142,0.0943106088185,0.940461444894,"West",0.0,0.0
58,"row12col5",0.0537335459827,0.281306904586,0.746156869373,0.94343837265,"West",0.0,0.0
59,"row12col5",0.0510468686836,0.272728799517,0.553556383144,0.946266454017,"East",0.0,0.0
60,"row12col6",0.0484945252494,0.321469256674,0.143425732098,0.948953131316,"West",0.0,0.0
61,"row12col5",0.046069798987,0.155800806084,0.357022706115,0.951505474751,"North",0.0,0.0
62,"row11col5",0.0437663090376,0.196806604332,0.378985855046,0.953930201013,"North",0.0,0.0
63,"row10col5",0.0415779935857,0.940562573482,0.216795056676,0.956233690962,"North",0.0,0.0
64,"row9col5",0.0394990939064,0.389447239386,0.300917000411,0.958422006414,"West",0.0,0.0
65,"row9col5",0.0375241392111,0.487802366685,0.535151234229,0.960500906094,"South",0.0,0.0
66,"row10col5",0.0356479322506,0.228918446036,0.621120682734,0.962475860789,"East",0.0,0.0
67,"row10col6",0.033865535638,0.369621985853,0.259788585735,0.964352067749,"South",0.0,0.0
68,"row11col6",0.0321722588561,0.666509155402,0.23999914384,0.966134464362,"North",0.0,0.0
69,"row10col6",0.0305636459133,0.642648247385,0.918515593301,0.967827741144,"West",0.0,0.0
70,"row10col5",0.0290354636177,0.401740743101,0.0248435085271,0.969436354087,"South",0.0,0.0
71,"row11col5",0.0275836904368,0.512134119506,0.273100463878,0.970964536382,"West",0.0,0.0
72,"row11col4",0.0262045059149,0.465738720686,0.435918690421,0.972416309563,"East",0.0,0.0
73,"row11col5",0.0248942806192,0.458674793632,0.41369369141,0.973795494085,"West",0.0,0.0
74,"row11col4",0.0236495665882,0.0352274444389,0.612335580007,0.975105719381,"East",0.0,0.0
75,"row11col5",0.0224670882588,0.0842553728196,0.808334743601,0.976350433412,"North",0.0,0.0
76,"row10col5",0.0213437338459,0.170057933539,0.756693346301,0.977532911741,"West",0.0,0.0
77,"row10col5",0.0202765471536,0.95015018429,0.442861564292,0.978656266154,"West",0.0,0.0
78,"row10col5",0.0192627197959,0.886559923189,0.0358179346075,0.979723452846,"North",0.0,0.0
79,"row9col5",0.0182995838061,0.951663105905,0.77913989704,0.980737280204,"North",0.0,0.0
80,"row8col5",0.0173846046158,0.112337039109,0.897230617977,0.981700416194,"West",0.0,0.0
81,"row8col4",0.016515374385,0.806740627336,0.399014176095,0.982615395384,"South",0.0,0.0
82,"row8col4",0.0156896056658,0.243873470245,0.422280866446,0.983484625615,"North",0.0,0.0
83,"row8col4",0.0149051253825,0.324598805339,0.299682672194,0.984310394334,"South",0.0,0.0
