"iteration","state","psi","randomNumber1","randomNumber2","epsilon","a","r","W"
2,"row13col6",0.95,0.658635414443,-1.0,-1,"South",0.0,0.0
3,"row14col6",0.9025,0.0488644847463,-1.0,-1,"South",0.0,0.0
4,"row15col6",0.857375,0.839185661448,-1.0,-1,"East",0.0,0.0
5,"row15col7",0.81450625,0.357384915276,-1.0,-1,"East",0.0,0.0
6,"row15col8",0.7737809375,0.0444600789952,-1.0,-1,"East",0.0,0.0
7,"row15col9",0.735091890625,0.911426139798,0.0937258116104,0.2262190625,"East",0.0,0.0
8,"row15col10",0.698337296094,0.795349063446,0.484950822144,0.264908109375,"West",0.0,0.0
9,"row15col9",0.663420431289,0.372943126917,0.484950822144,0.264908109375,"East",0.0,0.0
10,"row15col10",0.630249409725,0.0430580426137,0.484950822144,0.264908109375,"East",0.0,0.0
11,"row15col11",0.598736939238,0.722045434223,0.582075261839,0.369750590275,"West",0.0,0.0
12,"row15col10",0.568800092276,0.58260451677,0.582075261839,0.369750590275,"East",0.0,0.0
13,"row15col11",0.540360087663,0.165585652983,0.582075261839,0.369750590275,"East",0.0,0.0
14,"row15col12",0.51334208328,0.526733638252,0.582075261839,0.369750590275,"East",0.0,0.0
15,"row15col13",0.487674979116,0.254470749792,0.582075261839,0.369750590275,"East",0.0,0.0
16,"row15col14",0.46329123016,0.464876097844,0.582075261839,0.369750590275,"East",0.0,0.0
17,"row15col15",0.440126668652,0.594616083089,0.826596740044,0.53670876984,"South",0.0,0.0
18,"row16col15",0.418120335219,0.0250193328556,0.826596740044,0.53670876984,"South",0.0,0.0
19,"row17col15",0.397214318458,0.538812963382,0.0590198738226,0.581879664781,"West",0.0,0.0
20,"row17col14",0.377353602535,0.986901623967,0.56788476453,0.602785681542,"South",0.0,0.0
21,"row18col14",0.358485922409,0.310091129131,0.56788476453,0.602785681542,"East",0.0,0.0
22,"row18col15",0.340561626288,0.399063230185,0.348400425406,0.641514077591,"West",0.0,0.0
23,"row18col14",0.323533544974,0.729368666052,0.577609638238,0.659438373712,"North",0.0,0.0
24,"row17col14",0.307356867725,0.830840706743,0.526787257022,0.676466455026,"North",0.0,0.0
25,"row17col14",0.291989024339,0.860381058049,0.267880203399,0.692643132275,"West",0.0,0.0
26,"row17col13",0.277389573122,0.403324614146,0.38989534669,0.708010975661,"East",0.0,0.0
27,"row17col14",0.263520094466,0.700072144849,0.151997436909,0.722610426878,"North",0.0,0.0
28,"row17col14",0.250344089742,0.108199319814,0.151997436909,0.722610426878,"East",0.0,0.0
29,"row17col15",0.237826885255,0.864521855353,0.110498162532,0.749655910258,"West",0.0,0.0
30,"row17col14",0.225935540993,0.66461919442,0.788971205797,0.762173114745,"North",0.0,0.0
31,"row17col14",0.214638763943,0.948715395383,0.26871072638,0.774064459007,"East",0.0,0.0
32,"row17col15",0.203906825746,0.56628269575,0.759935536564,0.785361236057,"West",0.0,0.0
33,"row17col14",0.193711484459,0.127748975403,0.759935536564,0.785361236057,"East",0.0,0.0
34,"row17col15",0.184025910236,0.486957422662,0.54189409161,0.806288515541,"North",0.0,0.0
35,"row16col15",0.174824614724,0.984821517166,0.508579641214,0.815974089764,"West",0.0,0.0
36,"row16col15",0.166083383988,0.340146395665,0.512040485298,0.825175385276,"South",0.0,0.0
37,"row17col15",0.157779214788,0.980177572273,0.779229433764,0.833916616012,"East",0.0,0.0
38,"row17col16",0.149890254049,0.490508189894,0.789920386727,0.842220785212,"North",0.0,0.0
39,"row17col16",0.142395741346,0.235894233984,0.959273633618,0.850109745951,"South",0.0,0.0
40,"row18col16",0.135275954279,0.547119899505,0.0720969525137,0.857604258654,"East",0.0,0.0
41,"row18col17",0.128512156565,0.167575429341,0.821201141745,0.864724045721,"South",0.0,0.0
42,"row18col17",0.122086548737,0.630950796643,0.247059861325,0.871487843435,"East",0.0,0.0
43,"row18col18",0.1159822213,0.270339933573,0.646089888457,0.877913451263,"East",0.0,0.0
44,"row18col19",0.110183110235,0.648162814073,0.219055072242,0.8840177787,"South",0.0,0.0
45,"row19col19",0.104673954723,0.334091692563,0.0394350090944,0.889816889765,"West",0.0,0.0
46,"row19col18",0.0994402569871,0.713471089568,0.0277431999053,0.895326045277,"North",0.0,0.0
47,"row18col18",0.0944682441377,0.845875449606,0.600089085842,0.900559743013,"North",0.0,0.0
48,"row17col18",0.0897448319309,0.973985814967,0.671216013844,0.905531755862,"North",0.0,0.0
49,"row17col18",0.0852575903343,0.226115551985,0.863373143888,0.910255168069,"North",0.0,0.0
50,"row17col18",0.0809947108176,0.18772878251,0.0348157259609,0.914742409666,"West",0.0,0.0
51,"row17col18",0.0769449752767,0.555733426695,0.160153123797,0.919005289182,"South",0.0,0.0
52,"row18col18",0.0730977265129,0.892589261144,0.40832488963,0.923055024723,"North",0.0,0.0
53,"row17col18",0.0694428401872,0.76520702654,0.788444251897,0.926902273487,"West",0.0,0.0
54,"row17col18",0.0659706981779,0.927038958867,0.224166687544,0.930557159813,"West",0.0,0.0
55,"row17col18",0.062672163269,0.0481544941612,0.224166687544,0.930557159813,"South",0.0,0.0
56,"row18col18",0.0595385551055,0.407054178175,0.758995739054,0.937327836731,"West",0.0,0.0
57,"row18col17",0.0565616273503,0.0557573199339,0.758995739054,0.937327836731,"East",0.0,0.0
58,"row18col18",0.0537335459827,0.250446407966,0.252339633324,0.94343837265,"North",0.0,0.0
59,"row17col18",0.0510468686836,0.300829207254,0.605351047167,0.946266454017,"East",0.0,0.0
60,"row17col19",0.0484945252494,0.440023784605,0.663800799899,0.948953131316,"East",0.0,0.0
61,"row17col20",0.046069798987,0.220434844942,0.459764511019,0.951505474751,"North",0.0,0.0
62,"row17col20",0.0437663090376,0.259310195982,0.514762524655,0.953930201013,"South",0.0,0.0
63,"row18col20",0.0415779935857,0.650632965258,0.449582034734,0.956233690962,"East",0.0,0.0
64,"row18col21",0.0394990939064,0.697503270638,0.983079616384,0.958422006414,"East",0.0,0.0
65,"row18col22",0.0375241392111,0.775283430493,0.0850360023342,0.960500906094,"West",0.0,0.0
66,"row18col21",0.0356479322506,0.318525098789,0.269121453346,0.962475860789,"West",0.0,0.0
67,"row18col20",0.033865535638,0.467182132574,0.211840582017,0.964352067749,"North",0.0,0.0
68,"row17col20",0.0321722588561,0.266487643715,0.12006374784,0.966134464362,"South",0.0,0.0
69,"row18col20",0.0305636459133,0.681257223784,0.15130172262,0.967827741144,"North",0.0,0.0
70,"row17col20",0.0290354636177,0.376413482346,0.935562333619,0.969436354087,"East",0.0,0.0
71,"row17col21",0.0275836904368,0.313168529654,0.415568700413,0.970964536382,"South",0.0,0.0
72,"row18col21",0.0262045059149,0.800066692613,0.407218328434,0.972416309563,"East",0.0,0.0
73,"row18col22",0.0248942806192,0.750537186275,0.406127042594,0.973795494085,"East",0.0,0.0
74,"row18col22",0.0236495665882,0.0538242855891,0.856264830113,0.975105719381,"West",0.0,0.0
75,"row18col21",0.0224670882588,0.0392995962983,0.512776451201,0.976350433412,"West",0.0,0.0
76,"row18col20",0.0213437338459,0.313503170313,0.749391302919,0.977532911741,"North",0.0,0.0
77,"row17col20",0.0202765471536,0.995977704723,0.148231037565,0.978656266154,"East",0.0,0.0
78,"row17col21",0.0192627197959,0.61043582652,0.259164017819,0.979723452846,"South",0.0,0.0
79,"row18col21",0.0182995838061,0.233740067837,0.749006665953,0.980737280204,"South",0.0,0.0
80,"row19col21",0.0173846046158,0.352154050211,0.138022353805,0.981700416194,"South",0.0,0.0
81,"row19col21",0.016515374385,0.213682884725,0.574677674296,0.982615395384,"East",0.0,0.0
82,"row19col22",0.0156896056658,0.997889637305,0.186719054135,0.983484625615,"East",0.0,0.0
83,"row19col22",0.0149051253825,0.654311031625,0.905287199581,0.984310394334,"North",0.0,0.0
84,"row18col22",0.0141598691134,0.535185485537,0.376495986792,0.985094874618,"South",0.0,0.0
85,"row19col22",0.0134518756577,0.445001708828,0.311325949165,0.985840130887,"West",0.0,0.0
86,"row19col21",0.0127792818748,0.164673058817,0.60301050433,0.986548124342,"West",0.0,0.0
87,"row19col20",0.0121403177811,0.660218443217,0.266734954078,0.987220718125,"North",0.0,0.0
88,"row18col20",0.011533301892,0.987040311114,0.735036881246,0.987859682219,"East",0.0,0.0
89,"row18col21",0.0109566367974,0.151127750681,0.876316401938,0.988466698108,"North",0.0,0.0
90,"row17col21",0.0104088049575,0.768010560018,0.405856987892,0.989043363203,"East",0.0,0.0
91,"row17col22",0.00988836470966,0.723059610484,0.000805902082015,0.989591195042,"West",0.0,0.0
92,"row17col21",0.00939394647418,0.892754489885,0.457507647289,0.99011163529,"South",0.0,0.0
93,"row18col21",0.00892424915047,0.930111062808,0.857913132418,0.990606053526,"West",0.0,0.0
94,"row18col20",0.00847803669294,0.291327995103,0.676474555601,0.99107575085,"East",0.0,0.0
95,"row18col21",0.0080541348583,0.0319641258555,0.654961830531,0.991521963307,"West",0.0,0.0
96,"row18col20",0.00765142811538,0.763211036712,0.844584363494,0.991945865142,"North",0.0,0.0
97,"row17col20",0.00726885670961,0.756508330327,0.837116635563,0.992348571885,"North",0.0,0.0
98,"row17col20",0.00690541387413,0.556041337659,0.893567497911,0.99273114329,"North",0.0,0.0
99,"row17col20",0.00656014318043,0.697331167042,0.150641465719,0.993094586126,"South",0.0,0.0
100,"row18col20",0.0062321360214,0.0872977656434,0.491276858497,0.99343985682,"North",0.0,0.0
101,"row17col20",0.00592052922033,0.522243008973,0.342424794555,0.993767863979,"South",0.0,0.0
102,"row12col6",0.95,0.214299257102,-1.0,-1,"South",0.0,0.0
103,"row13col6",0.9025,0.506989789407,-1.0,-1,"South",0.0,0.0
104,"row14col6",0.857375,0.337649026012,-1.0,-1,"South",0.0,0.0
105,"row15col6",0.81450625,0.348689517056,-1.0,-1,"East",0.0,0.0
106,"row15col7",0.7737809375,0.915243711796,0.369322159599,0.18549375,"South",0.0,0.0
107,"row16col7",0.735091890625,0.337024941409,0.369322159599,0.18549375,"North",0.0,0.0
108,"row15col7",0.698337296094,0.523921780079,0.369322159599,0.18549375,"East",0.0,0.0
109,"row15col8",0.663420431289,0.141486804742,0.369322159599,0.18549375,"East",0.0,0.0
110,"row15col9",0.630249409725,0.346290344164,0.369322159599,0.18549375,"East",0.0,0.0
111,"row15col10",0.598736939238,0.734157781906,0.234566923782,0.369750590275,"South",0.0,0.0
112,"row15col10",0.568800092276,0.778103131651,0.589621699866,0.401263060762,"West",0.0,0.0
113,"row15col9",0.540360087663,0.139152433879,0.589621699866,0.401263060762,"East",0.0,0.0
114,"row15col10",0.51334208328,0.775297745167,0.880000798169,0.459639912337,"West",0.0,0.0
115,"row15col9",0.487674979116,0.0322012855078,0.880000798169,0.459639912337,"East",0.0,0.0
116,"row15col10",0.46329123016,0.971799080542,0.897797099171,0.512325020884,"North",0.0,0.0
117,"row14col10",0.440126668652,0.379174728306,0.897797099171,0.512325020884,"South",0.0,0.0
118,"row15col10",0.418120335219,0.529168550572,0.190440183949,0.559873331348,"North",0.0,0.0
119,"row14col10",0.397214318458,0.502942798269,0.0940515889859,0.581879664781,"North",0.0,0.0
120,"row14col10",0.377353602535,0.460256143793,0.852219469469,0.602785681542,"West",0.0,0.0
121,"row14col9",0.358485922409,0.0480203228676,0.852219469469,0.602785681542,"South",0.0,0.0
122,"row15col9",0.340561626288,0.942978068429,0.788724962642,0.641514077591,"East",0.0,0.0
123,"row15col10",0.323533544974,0.382547033325,0.684912154072,0.659438373712,"North",0.0,0.0
124,"row14col10",0.307356867725,0.857019517489,0.883643760297,0.676466455026,"East",0.0,0.0
125,"row14col11",0.291989024339,0.478905089995,0.585612036688,0.692643132275,"West",0.0,0.0
126,"row14col10",0.277389573122,0.127416520172,0.585612036688,0.692643132275,"South",0.0,0.0
127,"row15col10",0.263520094466,0.625640474565,0.612878924947,0.722610426878,"East",0.0,0.0
128,"row15col11",0.250344089742,0.847448162055,0.95090283274,0.736479905534,"East",0.0,0.0
129,"row15col12",0.237826885255,0.886114268439,0.00289553326567,0.749655910258,"West",0.0,0.0
130,"row15col11",0.225935540993,0.6179105336,0.621666640769,0.762173114745,"West",0.0,0.0
131,"row15col10",0.214638763943,0.4106425615,0.263498125509,0.774064459007,"North",0.0,0.0
132,"row14col10",0.203906825746,0.662582573393,0.454095385506,0.785361236057,"West",0.0,0.0
133,"row14col9",0.193711484459,0.0337451966441,0.454095385506,0.785361236057,"South",0.0,0.0
134,"row15col9",0.184025910236,0.501269413921,0.286611490893,0.806288515541,"East",0.0,0.0
135,"row15col10",0.174824614724,0.593906317458,0.061166541031,0.815974089764,"North",0.0,0.0
136,"row14col10",0.166083383988,0.832167956602,0.615873944765,0.825175385276,"East",0.0,0.0
137,"row14col11",0.157779214788,0.0773395084989,0.615873944765,0.825175385276,"South",0.0,0.0
138,"row15col11",0.149890254049,0.265591583818,0.277366017045,0.842220785212,"East",0.0,0.0
139,"row15col12",0.142395741346,0.226294005435,0.177543790925,0.850109745951,"West",0.0,0.0
140,"row15col11",0.135275954279,0.643734438527,0.102156573206,0.857604258654,"East",0.0,0.0
141,"row15col12",0.128512156565,0.581890232022,0.783994877801,0.864724045721,"East",0.0,0.0
142,"row15col13",0.122086548737,0.541290823008,0.306455387664,0.871487843435,"South",0.0,0.0
143,"row15col13",0.1159822213,0.300468263575,0.133257669216,0.877913451263,"West",0.0,0.0
144,"row15col12",0.110183110235,0.614175404136,0.661458026792,0.8840177787,"South",0.0,0.0
145,"row15col12",0.104673954723,0.936030848748,0.129036753285,0.889816889765,"East",0.0,0.0
146,"row15col13",0.0994402569871,0.900035534187,0.896218353584,0.895326045277,"North",0.0,0.0
147,"row14col13",0.0944682441377,0.673580238827,0.438494624533,0.900559743013,"South",0.0,0.0
148,"row15col13",0.0897448319309,0.043865915291,0.438494624533,0.900559743013,"East",0.0,0.0
149,"row15col14",0.0852575903343,0.84987308043,0.533324612229,0.910255168069,"East",0.0,0.0
150,"row15col15",0.0809947108176,0.421081766736,0.688143096092,0.914742409666,"North",0.0,0.0
151,"row14col15",0.0769449752767,0.150668961291,0.818151470838,0.919005289182,"West",0.0,0.0
152,"row14col14",0.0730977265129,0.894760743537,0.904827577084,0.923055024723,"North",0.0,0.0
153,"row14col14",0.0694428401872,0.683499580847,0.641254156599,0.926902273487,"North",0.0,0.0
154,"row14col14",0.0659706981779,0.952742581385,0.547353288691,0.930557159813,"East",0.0,0.0
155,"row14col15",0.062672163269,0.0421675939448,0.547353288691,0.930557159813,"South",0.0,0.0
156,"row15col15",0.0595385551055,0.591188887504,0.883034147956,0.937327836731,"South",0.0,0.0
157,"row16col15",0.0565616273503,0.421039452175,0.776721797521,0.940461444894,"West",0.0,0.0
158,"row16col15",0.0537335459827,0.796924763166,0.588746115153,0.94343837265,"North",0.0,0.0
159,"row15col15",0.0510468686836,0.944724760373,0.645756094748,0.946266454017,"East",0.0,0.0
160,"row15col16",0.0484945252494,0.876770592278,0.445717983835,0.948953131316,"South",0.0,0.0
161,"row15col16",0.046069798987,0.964944829499,0.539426500695,0.951505474751,"West",0.0,0.0
162,"row15col15",0.0437663090376,0.881023083067,0.607889225688,0.953930201013,"West",0.0,0.0
163,"row15col14",0.0415779935857,0.50628382934,0.152525122874,0.956233690962,"East",0.0,0.0
164,"row15col15",0.0394990939064,0.880882457422,0.781597373662,0.958422006414,"East",0.0,0.0
165,"row15col16",0.0375241392111,0.0825643063329,0.955754039124,0.960500906094,"South",0.0,0.0
166,"row15col16",0.0356479322506,0.00305944105282,0.955754039124,0.960500906094,"West",0.0,0.0
167,"row15col15",0.033865535638,0.952858045237,0.442420846588,0.964352067749,"West",0.0,0.0
168,"row15col14",0.0321722588561,0.720922790018,0.139654382372,0.966134464362,"West",0.0,0.0
169,"row15col13",0.0305636459133,0.197825701861,0.356762207631,0.967827741144,"North",0.0,0.0
170,"row14col13",0.0290354636177,0.687204236712,0.638707217784,0.969436354087,"North",0.0,0.0
171,"row14col13",0.0275836904368,0.968195282135,0.434418723075,0.970964536382,"West",0.0,0.0
172,"row14col12",0.0262045059149,0.989448727354,0.330551536851,0.972416309563,"West",0.0,0.0
173,"row14col11",0.0248942806192,0.0110978050433,0.330551536851,0.972416309563,"South",0.0,0.0
174,"row15col11",0.0236495665882,0.977685835553,0.920657382521,0.975105719381,"East",0.0,0.0
175,"row15col12",0.0224670882588,0.855166532511,0.273800221555,0.976350433412,"South",0.0,0.0
176,"row15col12",0.0213437338459,0.655699484314,0.317233493166,0.977532911741,"East",0.0,0.0
177,"row15col13",0.0202765471536,0.0969544491005,0.953538917557,0.978656266154,"West",0.0,0.0
178,"row15col12",0.0192627197959,0.121112194784,0.437966973904,0.979723452846,"North",0.0,0.0
179,"row14col12",0.0182995838061,0.987544815808,0.855170100528,0.980737280204,"East",0.0,0.0
180,"row14col13",0.0173846046158,0.483189879424,0.95533391514,0.981700416194,"North",0.0,0.0
