"iteration","state","psi","randomNumber1","randomNumber2","epsilon","a","r","W"
2,"row3col18",0.95,0.0763911453858,-1.0,-1,"South",0.0,0.0
3,"row3col18",0.9025,0.11483109496,-1.0,-1,"South",0.0,0.0
4,"row3col18",0.857375,0.081378399311,-1.0,-1,"South",0.0,0.0
5,"row3col18",0.81450625,0.590953535986,-1.0,-1,"South",0.0,0.0
6,"row3col18",0.7737809375,0.0910830622553,-1.0,-1,"South",0.0,0.0
7,"row3col18",0.735091890625,0.0387025790089,-1.0,-1,"South",0.0,0.0
8,"row3col18",0.698337296094,0.865901609798,0.956642207477,0.264908109375,"South",0.0,0.0
9,"row3col18",0.663420431289,0.692647448198,0.956642207477,0.264908109375,"South",0.0,0.0
10,"row3col18",0.630249409725,0.271815186225,0.956642207477,0.264908109375,"South",0.0,0.0
11,"row3col18",0.598736939238,0.227188106982,0.956642207477,0.264908109375,"South",0.0,0.0
12,"row3col18",0.568800092276,0.327407977325,0.956642207477,0.264908109375,"South",0.0,0.0
13,"row3col18",0.540360087663,0.0737421978234,0.956642207477,0.264908109375,"South",0.0,0.0
14,"row3col18",0.51334208328,0.720275925779,0.589186096633,0.459639912337,"South",0.0,0.0
15,"row3col18",0.487674979116,0.493659297713,0.589186096633,0.459639912337,"South",0.0,0.0
16,"row3col18",0.46329123016,0.447305179936,0.589186096633,0.459639912337,"South",0.0,0.0
17,"row3col18",0.440126668652,0.552574776027,0.243055557615,0.53670876984,"South",0.0,0.0
18,"row3col18",0.418120335219,0.749294227453,0.907417702138,0.559873331348,"East",0.0,0.0
19,"row3col19",0.397214318458,0.119576468956,0.907417702138,0.559873331348,"East",0.0,0.0
20,"row3col20",0.377353602535,0.517176474021,0.341077168646,0.602785681542,"East",0.0,0.0
21,"row3col21",0.358485922409,0.883139415126,0.761794891003,0.622646397465,"South",0.0,0.0
22,"row3col21",0.340561626288,0.966261782923,0.398231670097,0.641514077591,"South",0.0,0.0
23,"row3col21",0.323533544974,0.422123218477,0.787704162414,0.659438373712,"North",0.0,0.0
24,"row2col21",0.307356867725,0.18885023161,0.787704162414,0.659438373712,"East",0.0,0.0
25,"row2col22",0.291989024339,0.829140411141,0.611022122438,0.692643132275,"South",0.0,0.0
26,"row3col22",0.277389573122,0.896909306053,0.293162346893,0.708010975661,"East",0.0,0.0
27,"row3col22",0.263520094466,0.951526276768,0.270744816819,0.722610426878,"East",0.0,0.0
28,"row3col22",0.250344089742,0.022078274749,0.270744816819,0.722610426878,"East",0.0,0.0
29,"row3col22",0.237826885255,0.613456557499,0.480072993584,0.749655910258,"West",0.0,0.0
30,"row3col21",0.225935540993,0.575826376951,0.862288761923,0.762173114745,"North",0.0,0.0
31,"row2col21",0.214638763943,0.570905950152,0.714170305461,0.774064459007,"East",0.0,0.0
32,"row2col22",0.203906825746,0.676465862641,0.974186697307,0.785361236057,"South",0.0,0.0
