"iteration","state","psi","randomNumber1","randomNumber2","epsilon","a","r","W"
2,"row11col14",0.95,0.240525461456,-1.0,-1,"East",0.0,0.0
3,"row11col15",0.9025,0.131787599413,-1.0,-1,"South",0.0,0.0
4,"row12col15",0.857375,0.602268548292,-1.0,-1,"East",0.0,0.0
5,"row12col16",0.81450625,0.0324512824506,-1.0,-1,"East",0.0,0.0
6,"row12col17",0.7737809375,0.26050243791,-1.0,-1,"North",0.0,0.0
7,"row11col17",0.735091890625,0.597892318139,-1.0,-1,"North",0.0,0.0
8,"row10col17",0.698337296094,0.364017186274,-1.0,-1,"North",0.0,0.0
9,"row9col17",0.663420431289,0.668887835559,-1.0,-1,"North",0.0,0.0
10,"row8col17",0.630249409725,0.947015306044,0.770283487729,0.336579568711,"South",0.0,0.0
11,"row9col17",0.598736939238,0.81723048871,0.838638973334,0.369750590275,"West",0.0,0.0
12,"row9col17",0.568800092276,0.664673907203,0.0821027349615,0.401263060762,"North",0.0,0.0
13,"row8col17",0.540360087663,0.0769997038772,0.0821027349615,0.401263060762,"North",0.0,0.0
14,"row7col17",0.51334208328,0.877544531128,0.137265947505,0.459639912337,"East",0.0,0.0
15,"row7col18",0.487674979116,0.336409078284,0.137265947505,0.459639912337,"West",0.0,0.0
16,"row7col17",0.46329123016,0.359773284042,0.137265947505,0.459639912337,"North",0.0,0.0
17,"row6col17",0.440126668652,0.775792851246,0.0911509370487,0.53670876984,"East",0.0,0.0
18,"row6col18",0.418120335219,0.56228488399,0.625429936613,0.559873331348,"West",0.0,0.0
19,"row6col17",0.397214318458,0.959209750944,0.961751261636,0.581879664781,"South",0.0,0.0
20,"row7col17",0.377353602535,0.188372516287,0.961751261636,0.581879664781,"North",0.0,0.0
21,"row6col17",0.358485922409,0.0282345179966,0.961751261636,0.581879664781,"North",0.0,0.0
22,"row5col17",0.340561626288,0.222159758455,0.961751261636,0.581879664781,"West",0.0,0.0
23,"row5col16",0.323533544974,0.189048432513,0.961751261636,0.581879664781,"West",0.0,0.0
24,"row5col15",0.307356867725,0.730810514034,0.56060805111,0.676466455026,"West",0.0,0.0
25,"row5col14",0.291989024339,0.815176011403,0.472803696892,0.692643132275,"South",0.0,0.0
26,"row6col14",0.277389573122,0.217460305628,0.472803696892,0.692643132275,"North",0.0,0.0
27,"row5col14",0.263520094466,0.676137466229,0.403337994526,0.722610426878,"West",0.0,0.0
28,"row5col13",0.250344089742,0.282468334595,0.679016221141,0.736479905534,"West",0.0,0.0
29,"row5col12",0.237826885255,0.02689915018,0.679016221141,0.736479905534,"East",0.0,0.0
30,"row5col13",0.225935540993,0.162407590244,0.679016221141,0.736479905534,"North",0.0,0.0
31,"row4col13",0.214638763943,0.404245146767,0.324897845305,0.774064459007,"West",0.0,0.0
32,"row4col13",0.203906825746,0.113631276666,0.324897845305,0.774064459007,"North",0.0,0.0
33,"row3col13",0.193711484459,0.239217459667,0.759204982811,0.796093174254,"North",0.0,0.0
34,"row2col13",0.184025910236,0.206883392196,0.126251586401,0.806288515541,"East",0.0,0.0
35,"row2col14",0.174824614724,0.333879044056,0.864150541965,0.815974089764,"East",1.0,0.174824614724
36,"row7col6",0.95,0.7870140092,-1.0,-1,"North",0.0,0.0
37,"row6col6",0.9025,0.0566734721559,-1.0,-1,"North",0.0,0.0
