"iteration","state","psi","randomNumber1","randomNumber2","epsilon","a","r","W"
2,"row8col8",0.95,0.236273343689,-1.0,-1,"East",0.0,0.0
3,"row8col9",0.9025,0.334143562957,-1.0,-1,"West",0.0,0.0
4,"row8col8",0.857375,0.642236063736,-1.0,-1,"West",0.0,0.0
5,"row8col8",0.81450625,0.312512196133,-1.0,-1,"West",0.0,0.0
6,"row8col8",0.7737809375,0.555339236755,-1.0,-1,"West",0.0,0.0
7,"row8col8",0.735091890625,0.428833333905,-1.0,-1,"West",0.0,0.0
8,"row8col8",0.698337296094,0.589937885668,-1.0,-1,"East",0.0,0.0
9,"row8col9",0.663420431289,0.149055062143,-1.0,-1,"West",0.0,0.0
10,"row8col8",0.630249409725,0.68679193982,0.969608591047,0.336579568711,"South",0.0,0.0
11,"row9col8",0.598736939238,0.0583731338745,0.969608591047,0.336579568711,"South",0.0,0.0
12,"row9col8",0.568800092276,0.312540077309,0.969608591047,0.336579568711,"South",0.0,0.0
13,"row9col8",0.540360087663,0.894187538939,0.641075002579,0.431199907724,"West",0.0,0.0
14,"row9col8",0.51334208328,0.811285803834,0.310440693053,0.459639912337,"North",0.0,0.0
15,"row8col8",0.487674979116,0.633560391725,0.317515445499,0.48665791672,"West",0.0,0.0
16,"row8col8",0.46329123016,0.338704510049,0.317515445499,0.48665791672,"West",0.0,0.0
17,"row8col8",0.440126668652,0.896649905208,0.639674461273,0.53670876984,"South",0.0,0.0
18,"row9col8",0.418120335219,0.62843362257,0.0257831685268,0.559873331348,"North",0.0,0.0
19,"row8col8",0.397214318458,0.969561182057,0.996268594458,0.581879664781,"North",0.0,0.0
20,"row8col8",0.377353602535,0.697555823284,0.219219000875,0.602785681542,"West",0.0,0.0
21,"row8col8",0.358485922409,0.536308042186,0.695403118155,0.622646397465,"West",0.0,0.0
22,"row8col8",0.340561626288,0.973858044711,0.280689289036,0.641514077591,"West",0.0,0.0
23,"row8col8",0.323533544974,0.278248705262,0.280689289036,0.641514077591,"West",0.0,0.0
24,"row8col8",0.307356867725,0.720866649824,0.572959822849,0.676466455026,"West",0.0,0.0
25,"row8col8",0.291989024339,0.606334950374,0.961139548901,0.692643132275,"East",0.0,0.0
26,"row8col9",0.277389573122,0.807564672031,0.636508942873,0.708010975661,"South",0.0,0.0
27,"row9col9",0.263520094466,0.0183439639691,0.636508942873,0.708010975661,"West",0.0,0.0
28,"row9col8",0.250344089742,0.825710453286,0.744661110339,0.736479905534,"North",0.0,0.0
29,"row8col8",0.237826885255,0.929640311859,0.524622695009,0.749655910258,"South",0.0,0.0
30,"row9col8",0.225935540993,0.455387328472,0.561754125171,0.762173114745,"North",0.0,0.0
31,"row8col8",0.214638763943,0.730661724882,0.2879596443,0.774064459007,"West",0.0,0.0
32,"row8col8",0.203906825746,0.611673521884,0.81848453822,0.785361236057,"West",0.0,0.0
33,"row8col8",0.193711484459,0.416686079679,0.610685957798,0.796093174254,"North",0.0,0.0
34,"row8col8",0.184025910236,0.045280451778,0.610685957798,0.796093174254,"West",0.0,0.0
35,"row8col8",0.174824614724,0.660221337445,0.184221869488,0.815974089764,"South",0.0,0.0
36,"row9col8",0.166083383988,0.861458257984,0.950166410063,0.825175385276,"West",0.0,0.0
37,"row9col8",0.157779214788,0.782131553513,0.131304850453,0.833916616012,"South",0.0,0.0
38,"row9col8",0.149890254049,0.480593885878,0.0461355393946,0.842220785212,"West",0.0,0.0
39,"row9col8",0.142395741346,0.746621149834,0.864037438099,0.850109745951,"East",0.0,0.0
40,"row9col9",0.135275954279,0.253207017792,0.289699390353,0.857604258654,"West",0.0,0.0
41,"row9col8",0.128512156565,0.244542071703,0.477862942608,0.864724045721,"South",0.0,0.0
42,"row9col8",0.122086548737,0.581493101906,0.0272978130408,0.871487843435,"East",0.0,0.0
43,"row9col9",0.1159822213,0.52844641294,0.0546851231287,0.877913451263,"East",0.0,0.0
44,"row9col10",0.110183110235,0.0819724005221,0.0546851231287,0.877913451263,"South",0.0,0.0
45,"row9col10",0.104673954723,0.671252791032,0.371981912049,0.889816889765,"North",0.0,0.0
46,"row8col10",0.0994402569871,0.630155571649,0.683070708183,0.895326045277,"South",0.0,0.0
47,"row9col10",0.0944682441377,0.244273947132,0.837197665056,0.900559743013,"North",0.0,0.0
48,"row8col10",0.0897448319309,0.0796323908495,0.837197665056,0.900559743013,"South",0.0,0.0
49,"row9col10",0.0852575903343,0.958965388306,0.424505730687,0.910255168069,"South",0.0,0.0
50,"row9col10",0.0809947108176,0.477184049383,0.338830902398,0.914742409666,"East",0.0,0.0
51,"row9col11",0.0769449752767,0.630865035487,0.503785274822,0.919005289182,"North",0.0,0.0
52,"row8col11",0.0730977265129,0.675345472643,0.156389867839,0.923055024723,"South",0.0,0.0
53,"row9col11",0.0694428401872,0.0469370522711,0.156389867839,0.923055024723,"South",0.0,0.0
54,"row9col11",0.0659706981779,0.115025082784,0.841251823141,0.930557159813,"West",0.0,0.0
55,"row9col10",0.062672163269,0.264484726112,0.869954105314,0.934029301822,"South",0.0,0.0
56,"row9col10",0.0595385551055,0.78915826387,0.171381875697,0.937327836731,"South",0.0,0.0
57,"row9col10",0.0565616273503,0.694608878559,0.565321390303,0.940461444894,"North",0.0,0.0
58,"row8col10",0.0537335459827,0.867815710873,0.975504094463,0.94343837265,"West",0.0,0.0
59,"row8col9",0.0510468686836,0.113644298036,0.135152394099,0.946266454017,"South",0.0,0.0
60,"row9col9",0.0484945252494,0.716123391258,0.782023701284,0.948953131316,"North",0.0,0.0
61,"row8col9",0.046069798987,0.514384175252,0.652423243636,0.951505474751,"North",0.0,0.0
62,"row8col9",0.0437663090376,0.121107482203,0.860008597004,0.953930201013,"East",0.0,0.0
63,"row8col10",0.0415779935857,0.907976908669,0.505423474247,0.956233690962,"West",0.0,0.0
64,"row8col9",0.0394990939064,0.643959540002,0.214067052326,0.958422006414,"East",0.0,0.0
65,"row8col10",0.0375241392111,0.382793394507,0.434893324189,0.960500906094,"North",0.0,0.0
66,"row7col10",0.0356479322506,0.229500128381,0.845405413325,0.962475860789,"North",0.0,0.0
67,"row6col10",0.033865535638,0.531810323858,0.123095830728,0.964352067749,"South",0.0,0.0
68,"row7col10",0.0321722588561,0.8621590099,0.39815368493,0.966134464362,"North",0.0,0.0
69,"row6col10",0.0305636459133,0.486494251957,0.233046639347,0.967827741144,"West",0.0,0.0
70,"row6col9",0.0290354636177,0.150086800856,0.283576904886,0.969436354087,"South",0.0,0.0
71,"row6col9",0.0275836904368,0.597877991522,0.60586248065,0.970964536382,"North",0.0,0.0
72,"row5col9",0.0262045059149,0.0348453939695,0.380180500629,0.972416309563,"East",0.0,0.0
73,"row5col10",0.0248942806192,0.0931387366613,0.629186058847,0.973795494085,"North",0.0,0.0
74,"row5col10",0.0236495665882,0.983458339184,0.493039458513,0.975105719381,"South",0.0,0.0
75,"row6col10",0.0224670882588,0.577776887385,0.702342377436,0.976350433412,"West",0.0,0.0
76,"row6col9",0.0213437338459,0.71604907595,0.0976749913596,0.977532911741,"South",0.0,0.0
77,"row6col9",0.0202765471536,0.541342542622,0.416036573912,0.978656266154,"East",0.0,0.0
78,"row6col10",0.0192627197959,0.97516666847,0.562633568544,0.979723452846,"West",0.0,0.0
79,"row6col9",0.0182995838061,0.385244069033,0.645996080144,0.980737280204,"East",0.0,0.0
80,"row6col10",0.0173846046158,0.346810247644,0.0400865991969,0.981700416194,"South",0.0,0.0
81,"row7col10",0.016515374385,0.158373380147,0.834231157236,0.982615395384,"North",0.0,0.0
82,"row6col10",0.0156896056658,0.292919486857,0.549666841531,0.983484625615,"East",0.0,0.0
83,"row6col11",0.0149051253825,0.814080289667,0.347655703855,0.984310394334,"South",0.0,0.0
84,"row6col11",0.0141598691134,0.231598023649,0.139925222777,0.985094874618,"North",0.0,0.0
85,"row5col11",0.0134518756577,0.520565679333,0.501487262674,0.985840130887,"North",0.0,0.0
86,"row5col11",0.0127792818748,0.360775019811,0.596657432308,0.986548124342,"West",0.0,0.0
87,"row5col10",0.0121403177811,0.604474293827,0.746346543863,0.987220718125,"South",0.0,0.0
